"Device ID","Device name","Manufacturer","Serial number"
"badb2715-00af-4232-8a62-ea7dc244ad4d","ISOMO-B943273","Dell Inc.","B943273"
"93928a14-f27b-4a32-aa53-27780847ef99","Isomo-Dell-FK18043","Dell Inc.","FK18043"
"9a736651-68bd-47f2-a111-35d2d03d6a32","Isomo-Dell-4CGY7C3","Dell Inc.","4CGY7C3"
"a20d2bd1-9fdc-491f-bd93-2904c962d673","Isomo-Dell-JHQ3273","Dell Inc.","JHQ3273"
"f733e83d-9771-47b2-b867-f2e3454c04c8","Isomo-Dell-C6ZWL63","Dell Inc.","C6ZWL63"
"39bac13e-fae8-4f09-9e67-a3f691a3cc30","Isomo-Dell-3QQ3673","Dell Inc.","3QQ3673"
"368ff2b8-07c7-43bc-b876-04dbe2054951","ISOMO-HP-007","HP","5CG82663PD"
"1435d2d5-c4c9-47a0-809c-b459a5d145de","Isomo-Dell-B0KQ693","Dell Inc.","B0KQ693"
"d0331c32-dd37-42eb-830a-828f020d1376","Isomo-Dell-FLWD6D3","Dell Inc.","FLWD6D3"
"4742433d-fa4b-4e06-949c-2be5a4821410","ISOMO-HP-001","HP","5CG9194YD5"
"e6d892e3-b6f1-4ad8-86b5-9914a89d939c","Isomo-Dell-F7Z0673","Dell Inc.","F7Z0673"
"14a8dad5-c196-4d07-be0e-3ea2eb9e4a24","Isomo-Dell-9PFGP73","Dell Inc.","9PFGP73"
"9384310d-fbfc-42ca-a996-835b508ba918","Isomo-Dell-H7FJ573","Dell Inc.","H7FJ573"
"cb202406-8db3-4c20-be63-92043bdf3193","Isomo-Dell-F6V9S73","Dell Inc.","F6V9S73"
"a5ad814f-653b-41fa-af60-8f5a6859242f","Isomo-Dell-69DQ273","Dell Inc.","69DQ273"
"b090b4ce-a76b-4452-ba49-b0152e3987a0","Isomo-Dell-8V34673","Dell Inc.","8V34673"
"09e62209-a8ff-4a4c-9a54-d7f94e2a14d5","Isomo-HP-JPH00876VB","HP","JPH00876VB"
"defd3434-7b33-40c6-9613-12e954bddec8","Isomo-Dell-5CG9345FLZ","HP","5CG9345FLZ"
"88d32471-ae13-4169-b1a7-677de989e58e","Isomo-Dell-4XR4673","Dell Inc.","4XR4673"
"40a59bce-0348-4e9e-9b12-ae4f3d48c3ce","Isomo-Dell-C8X63D3","Dell Inc.","C8X63D3"
"64bdaa0e-df92-456d-b15b-17f0a7b2b01f","Isomo-Dell-463V473","Dell Inc.","463V473"
"3e267c40-3564-450a-8bc5-a20c0e1ac30b","Isomo-Dell-4R51673","Dell Inc.","4R51673"
"7cb8c151-b500-44ca-9eec-3a89c153a6c8","Isomo-Dell-551J473","Dell Inc.","551J473"
"919a3901-4d6d-4e80-baa5-2ccce1026bd6","Isomo-Dell-2ZV2673","Dell Inc.","2ZV2673"
"bf9f959b-6a4d-4ecd-a5c0-2192e673c4f5","Isomo-Dell-7JR2673","Dell Inc.","7JR2673"
"39c1281b-6d52-4e4f-a651-0ad5ca8cba15","Isomo-Dell-2YQ8DB3","Dell Inc.","2YQ8DB3"
"24636ce8-6333-4a14-a6cc-267bf14bafce","Isomo-Dell-8GS9Z33","Dell Inc.","8GS9Z33"
"52e5536e-04b6-4185-8a76-a64469bac22a","Isomo-Dell-7TF6N53","Dell Inc.","7TF6N53"
"fb4de28b-d567-426f-9894-1f7b7af3dc6d","Isomo-Dell-FJDM693","Dell Inc.","FJDM693"
"a1def2f2-0f63-462b-9f81-47c43b550b45","ISOMOACADEMY002","HP","5CG8496821"
"cd475b2e-eacb-4915-8c1e-8cbdf5cbc902","Isomo-Dell-49LQ373","Dell Inc.","49LQ373"
"01a584ab-d5c3-4945-8723-20ade1f51f0b","AN0N027D","Parallels International GmbH.","Parallels-7C939B8B3E6D47A588CA95624922D13F"
"02f921fe-8198-4ee1-b241-b5dc0236a91c","Isomo-Dell-4GLP693","Dell Inc.","4GLP693"
"8ce1e227-d4e7-4473-9263-c105291aff28","Isomo-Dell-CQXCM53","Dell Inc.","CQXCM53"
"930d3f34-97d3-45bb-9511-9fadbc8215ea","Isomo-Dell-6PXZM53","Dell Inc.","6PXZM53"
"e55b8f72-881e-419e-991b-a939789b32ea","Isomo-Dell-21J4273","Dell Inc.","21J4273"
"37780843-8fdd-4726-9346-68c00621f23f","Isomo-Dell-5513DB3","Dell Inc.","5513DB3"
"dcb06640-ac14-44fb-8892-7ce925567441","Isomo-5CG8522LVZ","HP","5CG8522LVZ"
"73c50a09-1d8e-4cd9-a515-331e910f2b82","Isomo-Dell-5QNL593","Dell Inc.","5QNL593"
"ba695ef7-707d-408f-8127-6368688e3fde","DESKTOP-BG4MMGI","HP","5CG8293DMX"
"69bc9ba5-4393-4c06-8d15-d7db5fb76660","Isomo-Dell-D4G2373","Dell Inc.","D4G2373"
"c65fe68d-d9ae-48ad-9e28-b352a98df836","Isomo-Dell-DXRH473","Dell Inc.","DXRH473"
"fbd6e757-b3c4-40b2-92cd-4ba2ff81e46d","Isomo-Dell-5TRBDB3","Dell Inc.","5TRBDB3"
"0a8d1abd-67f6-41f9-863c-162de2fc3634","Isomo-Dell-J1398C3","Dell Inc.","J1398C3"
"310a6f79-89a4-4d52-b49e-04813640207f","Isomo-Dell-1FC3273","Dell Inc.","1FC3273"
"3d4ccf5a-5e3a-4844-9209-cc95aa450bb3","Isomo-HP-014","HP","5CG01641SP"
"2aee5cc6-de0a-4112-9f8d-1b409a197bd9","Isomo-Dell-C12P373","Dell Inc.","C12P373"
"cdaa75c5-0a72-4ba8-83fc-5d42f2abded0","ISOMO","HP","5CG0145BP2"
"1c22cfe6-fb33-498f-a138-3c2b32f06843","Isomo-Dell-F832N53","Dell Inc.","F832N53"
"b7c44084-633c-4a3a-b837-4ed5472e2b3e","Isomo-Dell-CPWCFB3","Dell Inc.","CPWCFB3"
"c01652dc-e48e-43bf-8d8d-2286b9e8f23b","Isomo-Dell-635Y573","Dell Inc.","635Y573"
"6b39c6b4-7fb9-4283-bb6a-8c41e0460b37","Isomo-Dell-G48MR73","Dell Inc.","G48MR73"
"db797584-6091-4745-8d80-9eead9f107b5","Isomo-Dell-JYT8043","Dell Inc.","JYT8043"
"ef763903-519b-445b-b69e-03b6c3dc01a7","Isomo-Dell-5JNFFB3","Dell Inc.","5JNFFB3"
"1370e53d-059a-4251-8b9b-14d7509e7e20","Isomo-Dell-57YN273","Dell Inc.","57YN273"
"6b847ac6-ea73-40fc-b5f4-58117c056a3f","advikel","Dell Inc.","BYN7043"
"854d9f30-c72e-42d5-89f0-cf0f52e3e3f9","Isomo-Dell-DPCHFB3","Dell Inc.","DPCHFB3"
"98136690-c4d6-4b90-8672-c8f570091414","Isomo-Dell-F6HH693","Dell Inc.","F6HH693"
"891b50b8-f98c-4157-9c3e-7e510bf5d8ac","Isomo-Dell-5CG8478180","HP","5CG8478180"
"37ec6f37-c89f-43ea-bec7-2fe7514cae21","Isomo-Dell-66MP373","Dell Inc.","66MP373"
"66bf828e-46d9-45eb-bc5c-4fd747e7cf63","Isomo-Dell-9TWCFB3","Dell Inc.","9TWCFB3"
"5fb1aae7-a269-4fde-8ac0-6428840aa5a5","Isomo-Dell-6FPDFB3","Dell Inc.","6FPDFB3"
"6b4efc92-6696-4c94-8cb9-a51897e84b28","Isomo-Dell-592HFB3","Dell Inc.","592HFB3"
"a59d41f2-fd8a-4ac5-8c8a-155ba0f6b461","Isomo-Dell-JLFFQ73","Dell Inc.","JLFFQ73"
"20342e7c-78f5-4111-86e4-c147aafaa8cd","Isomo-Dell-J83L373","Dell Inc.","J83L373"
"4dabba8d-22f1-4625-81da-e09021ee8324","Isomo-Dell-1234567","Dell Inc.","1234567"
"7b5c921f-3e7b-4c2e-b069-f24c66ded6a0","Isomo-Dell-1V09DB3","Dell Inc.","1V09DB3"
"b62845b6-3660-40a8-a533-806847db7edb","Isomo-Dell-DBPN473","Dell Inc.","DBPN473"
"f7bd8cd4-bcbe-411b-840e-64dcc6e4a739","Isomo-Dell-6QLP693","Dell Inc.","6QLP693"
"88f5f274-1a7c-4c33-bea8-56ba0774284e","Isomo-Dell-2NPL353","Dell Inc.","2NPL353"
"0dcbbdbc-b9cc-4fc4-9d76-2668ee8fbd5a","Isomo-Dell-772HFB3","Dell Inc.","772HFB3"
"7ec25be1-616c-4200-8794-51442e72eb9c","Isomo-Dell-39RX7C3","Dell Inc.","39RX7C3"
"ebb3683b-c147-4ea3-9be2-83b96f722508","Isomo-Dell-6LY1673","Dell Inc.","6LY1673"
"3dd84b78-65f0-42c7-a373-adc70e46ad13","ISOMOACADEMY001","HP","5CG8478180"
"9b171f6a-2593-4702-9f8f-09817d6205b0","Isomo-Dell-CL92673","Dell Inc.","CL92673"
